Source;Accessible au public;Tarif;Accessibilite PMR;Indications de localisation;Type;Horaires d'ouverture;Relais bébé;coord_geo;osm_id;nom_de_la_commune;code_geogrephique_commune;nom_departement;code_geographique_departement
Openstreetmap;;;Oui;L'Avenue;Toilettes dans un bâtiment recevant du public;"Mo-Fr 07:00-02:00; Sa-Su 09:00-02:00";;48.8314452997341, 2.3762846;node/913577832;Paris;75056;Paris;75
Openstreetmap;;;Oui;Comptoir de l'Arc;Toilettes dans un bâtiment recevant du public;;;48.8710118997243, 2.2971038;node/926662877;Paris;75056;Paris;75
Openstreetmap;;;Oui;;Toilettes publiques;;Oui;48.8768031555096, 2.55280232733784;way/1020223603;Gagny;93032;Seine-Saint-Denis;93
Openstreetmap;;;;;Toilettes dans un bâtiment recevant du public;24/7;;48.8153732129001, 3.07966460824343;way/115163191;Coulommiers;77131;Seine-et-Marne;77
Openstreetmap;;;;Intermarché;Toilettes dans un bâtiment recevant du public;24/7;;48.7056071402591, 2.29631885725106;way/161212910;Chilly-Mazarin;91161;Essonne;91
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.5354084998114, 2.55403635000003;way/633674260;Boissise-le-Roi;77040;Seine-et-Marne;77
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.915518788631, 2.33087039807562;way/73838886;Saint-Ouen-sur-Seine;93070;Seine-Saint-Denis;93
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.6980372985516, 2.4073255590927;way/890751352;Draveil;91201;Essonne;91
Openstreetmap;Oui;;Non;;Toilettes publiques;;;48.5611342998011, 3.2949493;node/2281213031;Provins;77379;Seine-et-Marne;77
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8283717997349, 2.3766535;node/2378416408;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;24/7;;48.8694214997247, 2.3127592;node/3765658839;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);24/7;;48.8973013997178, 2.3856514;node/5267714940;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;48.8000192997419, 2.1836212;node/6817029353;Viroflay;78686;Yvelines;78
Openstreetmap;Oui;Gratuit;Non;;Toilettes publiques;;;48.6452471997803, 2.1525257;node/9459975606;Janvry;91319;Essonne;91
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;Oui;48.8667883833249, 2.3495766578313;way/627175844;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);6:00-22:00;;48.8959940997181, 2.3758563;node/5267714941;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.87072323445266, 2.3230539847225002;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.88273669913186, 2.3433914004361793;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.833717304602885, 2.3651263128545685;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.82304802120928, 2.3643766938524524;;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.6991701997669, 2.1889663;node/11032834952;Orsay;91471;Essonne;91
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8512734997292, 2.2753976;node/1369995243;Paris;75056;Paris;75
Openstreetmap;;;Non;pho g3;Toilettes dans un bâtiment recevant du public;;;48.6356424997827, 2.4293193;node/1868590764;Évry-Courcouronnes;91228;Essonne;91
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.88577302968561, 2.3703659880495707;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.83654537646535, 2.316402799684797;;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;49.1047927996664, 2.5517992;node/1278655716;Survilliers;95604;Val-d'Oise;95
Openstreetmap;;;Oui;Aire des Jonchets La Grande Paroisse;Toilettes dans un bâtiment recevant du public;24/7;;48.4262798998343, 2.9273012;node/25211440;La Grande-Paroisse;77210;Seine-et-Marne;77
Openstreetmap;;;Oui;;Toilettes publiques;;;48.6997495997668, 2.2273728;node/2892502037;Villebon-sur-Yvette;91661;Essonne;91
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.8547571997283, 2.3940413;node/393178427;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.5605394998012, 3.2804252;node/5631940721;Provins;77379;Seine-et-Marne;77
Openstreetmap;;;Non;Negozio Leggero;Toilettes dans un bâtiment recevant du public;Tu-Sa 10:00-20:00;;48.8674196997252, 2.3579979;node/6004706679;Paris;75056;Paris;75
Openstreetmap;;;;ESSO;Toilettes dans un bâtiment recevant du public;24/7;;48.8991279997173, 2.2938509;node/652862411;Levallois-Perret;92044;Hauts-de-Seine;92
Openstreetmap;;;Non;Shikka Kebab;Toilettes dans un bâtiment recevant du public;;;48.8088046997398, 2.3317234;node/6575275585;Arcueil;94003;Val-de-Marne;94
Openstreetmap;;;;;Toilettes publiques;;;48.8517788285307, 2.28719868516764;way/260305609;Paris;75056;Paris;75
Openstreetmap;;;;BP;Toilettes dans un bâtiment recevant du public;24/7;;48.945023518227, 2.14175254682466;way/358539261;Maisons-Laffitte;78358;Yvelines;78
Openstreetmap;;;;BP;Toilettes dans un bâtiment recevant du public;24/7;;48.6843331803693, 2.12403015702825;way/63449946;Gif-sur-Yvette;91272;Essonne;91
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8190992272089, 2.31974629430786;way/757095153;Montrouge;92049;Hauts-de-Seine;92
Openstreetmap;;;;Station Carrefour;Toilettes dans un bâtiment recevant du public;24/7;;48.6751183471105, 2.17471526986635;way/77592765;Les Ulis;91692;Essonne;91
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8947794574505, 2.32686261832162;way/964355492;Paris;75056;Paris;75
Autres;Oui;Gratuit;Oui;Station RER B - Bourg-la-Reine - En milieu de quai central, direction Paris;Toilette publique  RATP_x000D_;;;48.78005093776892, 2.3121626259597874;;Bourg-la-Reine;92014;Hauts-de-Seine;92
Openstreetmap;Oui;;;;Toilettes publiques;;;48.861319314959, 2.33753452994192;way/449948163;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.8258771997355, 3.0923637;node/8804269860;Coulommiers;77131;Seine-et-Marne;77
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);PH,Mo-Su 00:00-23:59;;48.8226284997363, 2.3288646;node/5267714716;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);6:00-22:00;;48.8991902997173, 2.3701386;node/5267714926;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.85718239169633, 2.2969433160913293;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.88111759201826, 2.2829708555165014;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.861457471318396, 2.3787483756587955;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.85719279757155, 2.2666990315751567;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.85930978120497, 2.372002006655197;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.85430117614816, 2.3050832108702153;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;WC PUBLICS PERMANENTS;;;48.853497166178684, 2.3539681991391688;;Paris;75056;Paris;75
